------------------------------
ID: 29646448_4858721
Report type: position_tracking_rankings
Period: 20260527 - 20260603
Keywords: In TOP 1-100
Metrics: declined
------------------------------

Keyword,Tags,Intents,*.purpleheartlimo.com/*_20260527,*.purpleheartlimo.com/*_20260527_type,*.purpleheartlimo.com/*_20260527_landing,*.purpleheartlimo.com/*_20260528,*.purpleheartlimo.com/*_20260528_type,*.purpleheartlimo.com/*_20260528_landing,*.purpleheartlimo.com/*_20260529,*.purpleheartlimo.com/*_20260529_type,*.purpleheartlimo.com/*_20260529_landing,*.purpleheartlimo.com/*_20260530,*.purpleheartlimo.com/*_20260530_type,*.purpleheartlimo.com/*_20260530_landing,*.purpleheartlimo.com/*_20260531,*.purpleheartlimo.com/*_20260531_type,*.purpleheartlimo.com/*_20260531_landing,*.purpleheartlimo.com/*_20260601,*.purpleheartlimo.com/*_20260601_type,*.purpleheartlimo.com/*_20260601_landing,*.purpleheartlimo.com/*_20260602,*.purpleheartlimo.com/*_20260602_type,*.purpleheartlimo.com/*_20260602_landing,*.purpleheartlimo.com/*_20260603,*.purpleheartlimo.com/*_20260603_type,*.purpleheartlimo.com/*_20260603_landing,*.purpleheartlimo.com/*_difference,Search Volume,CPC,Keyword Difficulty
dfw beer and wine,,c,9,organic,https://purpleheartlimo.com/blog/dfw-brewery-wine-tour.html,9,organic,https://purpleheartlimo.com/blog/dfw-brewery-wine-tour.html,23,organic,https://purpleheartlimo.com/blog/dfw-brewery-wine-tour.html,-,,,-,,,-,,,-,,,-,,,-91,170,n/a,35
dallas bar district,,i,23,organic,https://purpleheartlimo.com/blog/dallas-nightlife.html,23,organic,https://purpleheartlimo.com/blog/dallas-nightlife.html,26,organic,https://purpleheartlimo.com/blog/dallas-nightlife.html,-,,,-,,,-,,,-,,,-,,,-77,50,n/a,24
restaurants trinity grove,,i,33,organic,https://purpleheartlimo.com/blog/trinity-groves-dallas.html,35,organic,https://purpleheartlimo.com/blog/trinity-groves-dallas.html,35,organic,https://purpleheartlimo.com/blog/trinity-groves-dallas.html,-,,,-,,,-,,,-,,,-,,,-67,110,0.87,21
thanksgiving day parade dallas,,i,35,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,34,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,34,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,-,,,-,,,-,,,-,,,-,,,-65,210,n/a,20
south main fort worth,,i,38,organic,https://purpleheartlimo.com/blog/near-southside-fort-worth.html,37,organic,https://purpleheartlimo.com/blog/near-southside-fort-worth.html,37,organic,https://purpleheartlimo.com/blog/near-southside-fort-worth.html,-,,,-,,,-,,,-,,,-,,,-62,70,n/a,24
luxury hotels in dallas ft worth,,i|t,48,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,43,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,44,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,-,,,-,,,-,,,-,,,-,,,-52,50,1.54,65
arlington entertainment,,c,52,organic,https://purpleheartlimo.com/blog/arlington-entertainment.html,46,organic,https://purpleheartlimo.com/blog/arlington-entertainment.html,49,organic,https://purpleheartlimo.com/blog/arlington-entertainment.html,-,,,-,,,-,,,-,,,-,,,-48,140,0.70,50
dallas fort worth family activities,,c,52,organic,https://purpleheartlimo.com/blog/dfw-family-activities.html,46,organic,https://purpleheartlimo.com/blog/dfw-family-activities.html,48,organic,https://purpleheartlimo.com/blog/dfw-family-activities.html,-,,,-,,,-,,,-,,,-,,,-48,90,0.72,32
bachelorette party fort worth,,i,57,organic,https://purpleheartlimo.com/blog/dfw-bachelorette-party.html,56,organic,https://purpleheartlimo.com/blog/dfw-bachelorette-party.html,56,organic,https://purpleheartlimo.com/blog/dfw-bachelorette-party.html,-,,,-,,,-,,,-,,,-,,,-43,70,2.20,16
luxury hotels dallas,,t,59,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,57,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,56,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,-,,,-,,,-,,,-,,,-,,,-41,2400,1.45,70
grapevine history,,i,64,organic,https://purpleheartlimo.com/blog/grapevine-texas-guide.html,59,organic,https://purpleheartlimo.com/blog/grapevine-texas-guide.html,60,organic,https://purpleheartlimo.com/blog/grapevine-texas-guide.html,-,,,-,,,-,,,-,,,-,,,-36,210,0.19,21
grapevine texas history,,i,64,organic,https://purpleheartlimo.com/blog/grapevine-texas-guide.html,60,organic,https://purpleheartlimo.com/blog/grapevine-texas-guide.html,62,organic,https://purpleheartlimo.com/blog/grapevine-texas-guide.html,-,,,-,,,-,,,-,,,-,,,-36,140,0.19,20
top golf courses in dallas tx,,c,69,organic,https://purpleheartlimo.com/blog/dfw-golf-courses.html,67,organic,https://purpleheartlimo.com/blog/dfw-golf-courses.html,66,organic,https://purpleheartlimo.com/blog/dfw-golf-courses.html,-,,,-,,,-,,,-,,,-,,,-31,110,1.92,29
luxury suites in dallas tx,,t,77,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,74,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,74,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,-,,,-,,,-,,,-,,,-,,,-23,50,1.33,16
golf courses in dallas fort worth,,c,79,organic,https://purpleheartlimo.com/blog/dfw-golf-courses.html,74,organic,https://purpleheartlimo.com/blog/dfw-golf-courses.html,75,organic,https://purpleheartlimo.com/blog/dfw-golf-courses.html,-,,,-,,,-,,,-,,,-,,,-21,50,0.53,28
purple limo,,i,8,organic,https://purpleheartlimo.com/,8,organic,https://purpleheartlimo.com/,8,organic,https://purpleheartlimo.com/,9,organic,https://purpleheartlimo.com/,9,organic,https://purpleheartlimo.com/,21,organic,https://purpleheartlimo.com/,21,organic,https://purpleheartlimo.com/,27,organic,https://purpleheartlimo.com/,-19,90,1.24,14
luxury hotels in dallas with car services,,c,85,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,79,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,78,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,-,,,-,,,-,,,-,,,-,,,-15,30,n/a,0
luxury hotels in dallas,,i,54,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,50,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,53,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,66,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,66,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,66,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,65,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,65,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,-11,880,1.45,59
uotown dallas,,i,52,organic,https://purpleheartlimo.com/blog/uptown-dallas-guide.html,48,organic,https://purpleheartlimo.com/blog/uptown-dallas-guide.html,48,organic,https://purpleheartlimo.com/blog/uptown-dallas-guide.html,66,organic,https://purpleheartlimo.com/blog/uptown-dallas-guide.html,59,organic,https://purpleheartlimo.com/blog/uptown-dallas-guide.html,60,organic,https://purpleheartlimo.com/blog/uptown-dallas-guide.html,60,organic,https://purpleheartlimo.com/blog/uptown-dallas-guide.html,62,organic,https://purpleheartlimo.com/blog/uptown-dallas-guide.html,-10,110,0.98,30
dallas luxury hotel,,i|t,50,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,48,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,48,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,52,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,51,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,54,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,54,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,59,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,-9,110,1.45,71
things to do on thanksgiving day in dallas,,i,45,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,43,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,43,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,51,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,49,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,51,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,51,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,53,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,-8,90,n/a,8
arlington tx entertainment district,,i,42,organic,https://purpleheartlimo.com/blog/arlington-entertainment.html,41,organic,https://purpleheartlimo.com/blog/arlington-entertainment.html,41,organic,https://purpleheartlimo.com/blog/arlington-entertainment.html,52,organic,https://purpleheartlimo.com/blog/arlington-entertainment.html,48,organic,https://purpleheartlimo.com/blog/arlington-entertainment.html,49,organic,https://purpleheartlimo.com/blog/arlington-entertainment.html,49,organic,https://purpleheartlimo.com/blog/arlington-entertainment.html,49,organic,https://purpleheartlimo.com/blog/arlington-entertainment.html,-7,260,0.87,15
best hotels in dallas,,c,30,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,29,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,30,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,29,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,29,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,29,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,32,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,37,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,-7,2900,1.54,70
dallas nightlife areas,,i,24,organic,https://purpleheartlimo.com/blog/dallas-nightlife.html,28,organic,https://purpleheartlimo.com/blog/dallas-nightlife.html,28,organic,https://purpleheartlimo.com/blog/dallas-nightlife.html,29,organic,https://purpleheartlimo.com/blog/dallas-nightlife.html,28,organic,https://purpleheartlimo.com/blog/dallas-nightlife.html,30,organic,https://purpleheartlimo.com/blog/dallas-nightlife.html,30,organic,https://purpleheartlimo.com/blog/dallas-nightlife.html,31,organic,https://purpleheartlimo.com/blog/dallas-nightlife.html,-7,50,n/a,29
most expensive hotel in dallas,,t,95,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,84,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,84,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,-,,,-,,,-,,,-,,,-,,,-5,260,0.68,49
bachelorette dallas,,c,61,organic,https://purpleheartlimo.com/blog/dfw-bachelorette-party.html,58,organic,https://purpleheartlimo.com/blog/dfw-bachelorette-party.html,60,organic,https://purpleheartlimo.com/blog/dfw-bachelorette-party.html,65,organic,https://purpleheartlimo.com/blog/dfw-bachelorette-party.html,62,organic,https://purpleheartlimo.com/blog/dfw-bachelorette-party.html,62,organic,https://purpleheartlimo.com/blog/dfw-bachelorette-party.html,65,organic,https://purpleheartlimo.com/blog/dfw-bachelorette-party.html,65,organic,https://purpleheartlimo.com/blog/dfw-bachelorette-party.html,-4,50,1.45,24
