Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
limos,1,1,6600,65,2.16,https://www.primelimo.com/,871,10.27,1881.00,0.28,157000000,"24, 36, 16, 16, 16, 66, 24, 10, 19, 16, 7, 19",2026-05-25,"Local pack, Video, Image, Ads bottom, People also ask, Related searches",commercial,Local pack
prime limo,1,1,1000,31,1.58,https://www.primelimo.com/,800,9.43,1264.00,0.14,109,"62, 62, 45, 81, 45, 45, 81, 62, 62, 81, 81, 100",2026-04-19,"Knowledge panel, Sitelinks, Video, Image, Related searches",navigational,Organic
limo service dallas,1,1,880,46,3.05,https://www.primelimo.com/,704,8.3,2147.00,0.8,107,"46, 52, 68, 25, 37, 31, 46, 52, 52, 46, 37, 37",2026-05-21,"Knowledge panel, Sitelinks, Related searches",commercial,Organic
limousine s,1,1,1600,63,2.26,https://www.primelimo.com/,396,4.67,894.00,0.32,153,"100, 100, 82, 55, 34, 44, 82, 55, 24, 24, 24, 30",2026-05-28,"Local pack, Image pack, Video, Related searches",commercial,Local pack
limo service dallas tx,1,1,320,63,3.05,https://www.primelimo.com/,256,3.02,780.00,0.8,683000,"36, 36, 55, 10, 30, 16, 24, 10, 13, 16, 8, 24",2026-05-03,"Knowledge panel, Sitelinks, Related searches, Discussions and forums",informational,Organic
limousine rental dallas,1,1,260,59,2.25,https://www.primelimo.com/,208,2.45,468.00,0.84,111,"100, 81, 66, 81, 43, 8, 35, 29, 43, 22, 18, 54",2026-05-08,"Knowledge panel, Sitelinks, Image, Related searches",transactional,Organic
prime limo and car service,1,1,260,36,1.58,https://www.primelimo.com/,208,2.45,328.00,0.14,105,"9, 7, 4, 7, 48, 14, 39, 14, 9, 17, 21, 100",2026-05-22,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
limo car,1,1,2400,75,1.79,https://www.primelimo.com/,196,2.31,350.00,0.28,223,"44, 35, 23, 35, 16, 23, 23, 12, 44, 35, 44, 29",2026-05-27,"Local pack, Video, People also ask, Related searches, Short videos, Things to know, AI overview",commercial,Local pack
limousine service dallas,1,1,720,40,3.05,https://www.primelimo.com/,178,2.1,542.00,0.8,109,"100, 100, 76, 76, 45, 45, 36, 36, 55, 24, 20, 30",2026-05-23,"Local pack, Sitelinks, People also ask, Related searches",commercial,Local pack
prime limo & car service,1,1,210,45,1.58,https://www.primelimo.com/,168,1.98,265.00,0.14,2130000,"15, 1, 3, 3, 100, 19, 44, 15, 12, 12, 23, 19",2026-04-20,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
limo rides dallas,1,1,590,41,3.05,https://www.primelimo.com/,146,1.72,445.00,0.8,1640000,"10, 10, 5, 36, 62, 55, 10, 45, 62, 45, 45, 36",2026-04-19,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Local pack
dallas limo service,1,1,590,56,3.05,https://www.primelimo.com/,146,1.72,445.00,0.8,110,"100, 67, 55, 100, 36, 30, 24, 24, 13, 24, 16, 24",2026-04-11,"Local pack, Sitelinks, Video, Related searches",commercial,Local pack
limousine car service,1,1,480,67,2.51,https://www.primelimo.com/,119,1.4,298.00,0.62,32900000,"54, 15, 54, 54, 36, 44, 44, 54, 100, 54, 29, 36",2026-04-16,"Local pack, Video, Image, People also ask, Related searches",commercial,Local pack
car service dallas,1,1,480,24,4.29,https://www.primelimo.com/,119,1.4,510.00,0.79,118,"45, 13, 36, 45, 45, 45, 36, 36, 36, 30, 30, 30",2026-05-28,"Local pack, Video, People also ask, Related searches",commercial,Local pack
prime limo dallas,1,1,140,29,2.75,https://www.primelimo.com/,112,1.32,308.00,0.38,649000,"64, 41, 82, 82, 82, 82, 64, 64, 82, 100, 82, 52",2026-04-19,"Knowledge panel, Sitelinks, Video, Image, Related searches",navigational,Organic
dallas chauffeur service,1,1,140,45,4.16,https://www.primelimo.com/,112,1.32,465.00,0.9,115,"66, 14, 33, 33, 33, 33, 80, 100, 100, 66, 80, 100",2026-05-14,"Local pack, Video, Image, Related searches",commercial,Local pack
prime limo and car service dallas,1,1,140,39,2.75,https://www.primelimo.com/,112,1.32,308.00,0.38,129,"52, 33, 52, 66, 66, 66, 66, 66, 66, 100, 66, 52",2026-05-19,"Knowledge panel, Sitelinks, People also ask, Related searches, Discussions and forums",navigational,Organic
limo rental dallas,1,1,390,51,2.25,https://www.primelimo.com/,96,1.13,216.00,0.84,1240000,"55, 30, 24, 36, 16, 24, 24, 13, 36, 24, 20, 20",2026-04-19,"Local pack, Video, Image, Related searches",commercial,Local pack
car service dallas tx,1,1,390,32,4.16,https://www.primelimo.com/,96,1.13,399.00,0.9,209000000,"59, 26, 32, 59, 48, 21, 39, 39, 26, 32, 26, 26",2026-05-06,"Local pack, Video, People also ask, Discussions and forums",commercial,Local pack
chauffeur service dallas,1,1,390,34,4.16,https://www.primelimo.com/,96,1.13,399.00,0.9,108,"39, 72, 39, 32, 88, 32, 21, 26, 26, 21, 21, 21",2026-05-25,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Local pack
dallas car service,1,1,390,25,4.16,https://www.primelimo.com/,96,1.13,399.00,0.9,413000000,"55, 36, 67, 36, 13, 36, 20, 30, 13, 13, 8, 24",2026-04-11,"Local pack, Related searches",commercial,Local pack
limo dallas rental,1,1,320,54,2.25,https://www.primelimo.com/,79,0.93,177.00,0.84,109,"19, 100, 67, 15, 36, 36, 15, 12, 36, 23, 29, 29",2026-04-17,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Local pack
dallas limo,1,1,320,54,2.73,https://www.primelimo.com/,79,0.93,215.00,0.66,161,"66, 66, 54, 54, 44, 29, 36, 29, 66, 36, 29, 36",2026-05-08,"Local pack, Sitelinks, Image, Related searches, Discussions and forums",commercial,Local pack
