Page URL,Structured data,Field,Issue description,Discovered
https://purpleheartlimo.com/es/contact.html,Local Business,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/contact.html,Organization,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Review Snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Review Snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Review Snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Review Snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Review Snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Breadcrumb,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Review Snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Review Snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Review Snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Review Snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/fleet.html,Carousel,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/limo-service-austin-tx/,Local Business,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/es/limo-service-dallas-tx/,Local Business,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/gallery.html,Local Business,address,A value for the address field is required.,27 May 2026 (00:47 UTC)
https://purpleheartlimo.com/locations/,Local Business,address,A value for the address field is required.,27 May 2026 (00:47 UTC)
